date,event,utr_singles_masked,utr_doubles_masked,utr_singles_unmasked,utr_doubles_unmasked
2020-08-18T00:00:00,USTA Adult League - Fuller-CC vs. Yates-CC,1.xx,2.xx,1.23,2.68
2020-07-26T00:00:00,USTA Adult League - Yates-CC vs. Fuller-CC,1.xx,2.xx,1.23,2.68
2020-07-19T00:00:00,USTA Adult League - Fuller-CC vs. Ezell-CC,1.xx,2.xx,1.23,2.68
2020-03-01T00:00:00,USTA Adult League - Dudley/Griffiths-CC vs. Masic-CG,1.xx,2.xx,1.23,2.68
2020-02-29T00:00:00,USTA Adult League - Green-CC vs. Dudley/Griffiths-CC,1.xx,2.xx,1.23,2.68
2020-02-22T00:00:00,USTA Adult League - Dudley/Griffiths-CC vs. Kilpatrick/Culpepper-GI,1.xx,2.xx,1.23,2.68
2019-10-21T00:00:00,USTA Adult League - Dudley/Griffiths-CC vs. Skinner/Sievers-CC,1.xx,2.xx,1.23,2.68
2019-09-30T00:00:00,USTA Adult League - Medders/Foy-CC vs. Dudley/Griffiths-CC,1.xx,2.xx,1.23,2.68
2019-07-14T00:00:00,USTA Adult League - Yates-CC vs. Fuller-CC,1.xx,2.xx,1.23,2.68
2019-06-01T00:00:00,USTA Adult League - CORTA/Sharon Hilliard vs. COTA/Sallie Hale,1.xx,2.xx,1.23,2.68
2019-05-31T00:00:00,USTA Adult League - CORTA/Sharon Hilliard vs. USTA Atlanta/Kathy Travis,1.xx,2.xx,1.23,2.68
2019-04-07T00:00:00,USTA Adult League - Miller/McLemore-CC vs. Austin/Hilliard-CC,1.xx,2.xx,1.23,2.68
2019-02-03T00:00:00,USTA Adult League - Austin/Hilliard-CC vs. Pergl-CC,1.xx,2.xx,1.23,2.68
2018-10-14T00:00:00,USTA Adult League - Badcock/Schondelmayer-CCC vs. Austin-CC,1.xx,2.xx,1.23,2.68
2018-08-27T00:00:00,USTA Adult League - Fuller-CC vs. Yates/Mann-CC,1.xx,2.xx,1.23,2.68
2018-08-26T00:00:00,USTA Adult League - Yates/Mann-CC vs. Fuller-CC,1.xx,2.xx,1.23,2.68
2018-08-16T00:00:00,USTA Adult League - Fuller-CC vs. Liscar/Ezell-CC,1.xx,2.xx,1.23,2.68
2018-07-22T00:00:00,USTA Adult League - Yates/Mann-CC vs. Fuller-CC,1.xx,2.xx,1.23,2.68
2018-03-07T00:00:00,USTA Adult League - Bryant-CG vs. Watt/Austin-CC,1.xx,2.xx,1.23,2.68
2017-11-19T00:00:00,USTA Adult League - Watt/Austin-CC vs. Harp/Kilpatrick-GI,1.xx,2.xx,1.23,2.68
2017-11-05T00:00:00,USTA Adult League - Watt/Austin-CC vs. Bryant-CG,1.xx,2.xx,1.23,2.68
2017-10-01T00:00:00,USTA Adult League - Watt/Austin-CC vs. Liscar/Hall-CC,1.xx,2.xx,1.23,2.68
